1.3, 6.95, 0
2.9, 6.5, 0
2.15, 5, 0
1.2, 4.7, 0
0.2, 6.05, 0
1.3, 7.15, 0
1.95, 5.9, 0
1.1, 5.9, 0
1.6, 8.15, 0
2.55, 7.55, 0
1.5, 5.45, 0
0.55, 7.25, 0
2.2, 7.7, 0
2.5, 6.2, 0
2.85, 4.45, 0
1.1, 4.15, 0
0.8, 5.65, 0
1.9, 7.4, 0
3, 6, 0
2.8, 4.65, 0
2.85, 7.85, 0
3.75, 6.5, 0
3.6, 4.5, 0
2.65, 5, 0
1.4, 7.2, 0
2.6, 7.3, 0
1.5, 6.55, 0
4.25, 7.25, 0
2.7, 7.25, 0
1.7, 6.75, 0
2.9, 5.25, 0
3.75, 7.45, 0
1.6, 7.15, 0
0.35, 6.05, 0
2.25, 4.65, 0
3.05, 5.3, 0
3.15, 6.15, 0
1.8, 6, 0
1.6, 6.75, 0
3.35, 7.15, 0
3.8, 5.4, 0
4.25, 6.3, 0
4.1, 8.05, 0
2.75, 8.55, 0
1.4, 9.15, 0
0.65, 8, 0
2.35, 7.05, 0
1.9, 5.1, 0
2.8, 4.1, 0
4.35, 5.1, 0
10.2, 6.95, 0
10.85, 6.8, 0
11.3, 6.35, 0
10.8, 5.7, 0
9.75, 6, 0
9.95, 7.7, 0
11.2, 7.45, 0
11.7, 6.2, 0
11, 5.3, 0
9.9, 5.4, 0
10.6, 6.3, 1
9.75, 6.8, 1
10.4, 7.4, 1
11.25, 6.95, 1
11.3, 5.85, 1
10.55, 5.45, 1
9.75, 5.85, 1
9.75, 7.65, 1
11.6, 6.8, 1
10.15, 5.9, 1
16.15, 8.8, 1
17.05, 9.05, 1
18.3, 8.8, 1
18.45, 8.1, 1
18.7, 7.25, 1
18.55, 5.75, 1
18.05, 4.85, 1
15.95, 4.7, 1
15.6, 6.5, 1
16.95, 8, 1
18, 6.85, 1
17.05, 5.55, 1
16.3, 6.5, 1
15.35, 8, 1
16.65, 8.7, 1
17.35, 7.15, 1
16.1, 6.55, 1
16.2, 5.3, 1
17.55, 5.25, 1
17.75, 6.55, 1
18.95, 7, 1
18.25, 8.7, 1
16.9, 7.75, 1
15.9, 6.9, 1
16.9, 6, 1
17.15, 8.25, 1
18.35, 8.1, 1
18.65, 5.8, 1
17, 6.9, 1
17.85, 7.95, 1
16.05, 8.1, 1
17.7, 6.65, 1
18.15, 5.6, 1
18.6, 7.05, 1
18.55, 8.35, 1
16.8, 8.4, 1
15.65, 7.45, 1
18.75, 7.95, 1
19.6, 7.15, 1
19.25, 5.25, 1
18.4, 4.6, 1
16.9, 4.8, 1
15.9, 5.85, 1
16.35, 7.8, 1
18.3, 7.65, 1
19.7, 6.3, 1
17.9, 5.95, 1
17.85, 8.65, 1
18.2, 9.35, 1
19.65, 8.85, 1
18.9, 6.3, 1
